,Unnamed: 0,Unnamed: 0.1,Created At,ScreenName,Handle,Tweet,Links,Tweet Type,Language,Sentiment,Retweets,Favourites,Followers,Friends,Reach,Retweet Rate (Tweets Per Minute),Engagements,Engagement Rate (% of Followers),Source,Domain,URL,Tweet Link,Pic Link,Retweeting User,Retweeting Handle,Profile Location,Country (Profile),Location (Geo),Country (Geo),Tweet ID
251,251,368,tue jul 16 22:14:27 +0000 2019,nasa ,nasa,"enjoy a full moon tonight ? just in time for the #apollo50th anniversary of the launch that brought human beings to its surface! there are lots of other things to keep an eye in the sky for this month, including a partial eclipse, meteor showers and more: go.nasa.gov/2jqe0vy pic.twitter.com/ncp4mldvdh",twitter analytics for #apollo50th https://go.nasa.gov/2jqe0vy https://twitter.com/nasa/status/1151253790751961088/photo/1,regular tweet,en,3,"1,354","5,701",34010711,298,34010711,0,"7,055",0.02,sprinklr,go.nasa.gov ,go.nasa.gov/2jqe0vy ,https://twitter.com/nasa /status/1151253790751961088,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.15E+18
353,353,504,mon jul 01 17:23:08 +0000 2019,nasa ,nasa,?est?n listos? are you ready? ?? ? ? a total solar eclipse will be seen over parts of argentina and chile tomorrow and we're covering it live in english &amp; spanish. here's how you can watch: go.nasa.gov/2nojvux pic.twitter.com/dlu3i6fwtl,https://go.nasa.gov/2nojvux https://twitter.com/nasa/status/1145744657881583616/photo/1,regular tweet,en,1,"1,148","3,363",34010711,298,34010711,0,"4,511",0.01,sprinklr,go.nasa.gov ,go.nasa.gov/2nojvux ,https://twitter.com/nasa /status/1145744657881583616,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.15E+18
357,357,509,tue may 28 16:30:29 +0000 2019,nasa ,nasa,"one hundred years ago, a total solar eclipse turned an obscure scientist into a household name. you might have heard of him ? his name is albert einstein. but how did a solar eclipse demonstrate his theory about general relativity? find out: go.nasa.gov/2wog1ld pic.twitter.com/tcxd0ffd37",https://go.nasa.gov/2wog1ld https://twitter.com/nasa/status/1133410223065116676/photo/1,regular tweet,en,-1,"1,140","4,922",34010715,298,34010715,0,"6,062",0.02,sprinklr,go.nasa.gov ,go.nasa.gov/2wog1ld ,https://twitter.com/nasa /status/1133410223065116676,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.13E+18
367,367,522,sun jun 30 19:44:07 +0000 2019,nasa ,nasa,?est?n listos? are you ready? ?? ? ? a total solar eclipse will be seen over parts of argentina and chile on july 2 and we're covering it live in english &amp; spanish. here's how you can watch: go.nasa.gov/31tivgk pic.twitter.com/3aphaj8ym7,https://go.nasa.gov/31tivgk https://twitter.com/nasa/status/1145417749835014144/photo/1,regular tweet,en,1,"1,117","3,493",34010711,298,34010711,0,"4,610",0.01,sprinklr,go.nasa.gov ,go.nasa.gov/31tivgk ,https://twitter.com/nasa /status/1145417749835014144,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.15E+18
436,436,610,tue jul 02 19:01:01 +0000 2019,nasa ,nasa,? ? ?? don't you love it when things line up just right? watch live coverage of the total solar eclipse over chile and argentina starting at 4pm et: go.nasa.gov/326wogo.hablas espa?ol? ?sigue a @nasa_es para actualizaciones! #eclipse2019 pic.twitter.com/n4jyacipir,https://go.nasa.gov/326wogo twitter analytics for #eclipse2019 https://twitter.com/nasa/status/1146131680761122817/photo/1,regular tweet,en,3,"1,000","3,792",34010711,298,34010711,0,"4,792",0.01,sprinklr,go.nasa.gov ,go.nasa.gov/326wogo ,https://twitter.com/nasa /status/1146131680761122817,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.15E+18
563,563,793,tue jul 02 19:31:59 +0000 2019,nasa ,nasa,"live now: watch nasa tv for live coverage of the moon obscuring the sun over south america: go.nasa.gov/326ykafwhile most of the continent will see at least a partial eclipse, parts of chile and argentina will briefly bathe in the darkness of the moon's shadow. #eclipse2019 pic.twitter.com/zzwuw2f1kp",https://go.nasa.gov/326ykaf twitter analytics for #eclipse2019 https://twitter.com/nasa/status/1146139472142262272/photo/1,regular tweet,en,-1,807,"2,593",34010711,298,34010711,0,"3,400",0.01,sprinklr,go.nasa.gov ,go.nasa.gov/326ykaf ,https://twitter.com/nasa /status/1146139472142262272,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.15E+18
767,767,1086,fri apr 05 01:52:37 +0000 2019,nasa ,nasa,"this march, our @marscuriosity rover saw not one but two solar eclipses, by two different moons! ?the views it captured of tiny deimos and larger phobos (seen here) will be used to better understand the moons' orbits. click through for more: go.nasa.gov/2umun97 pic.twitter.com/8si6ce5fqi",https://go.nasa.gov/2umun97 https://twitter.com/nasa/status/1113982743078154243/photo/1,regular tweet,en,1,625,"3,022",34010721,298,34010721,0,"3,647",0.01,sprinklr,go.nasa.gov ,go.nasa.gov/2umun97 ,https://twitter.com/nasa /status/1113982743078154243,https://pbs.twimg.com/profile_images/1091070803184177153/ti2qitoi_normal.jpg,,,,,,,1.11E+18
,,,,,,,,,,,"7,191","26,886",,,,,"34,077",,,,,,,,,,,,,
